Symbol	Probeset	ENTREZ	LocusLink	logFC_CM9	AveExpr_CM9	t_CM9	P.Value_CM9	logFC_CM38	AveExpr_CM38	t_CM38	P.Value_CM38
MMP28	79148_at	79148	LOC79148	0.0416	2.6171	1.3342	0.1872	0.030399407	3.731272727	0.843505083	0.40354369
MMP3	4314_at	4314	LOC4314	0.0434	2.6735	0.3013	0.7642	0.159020035	3.954818182	0.839230272	0.405911748
MMP27	64066_at	64066	LOC64066	0.0441	2.3711	1.6745	0.0993	0.036423625	3.186727273	0.834505668	0.408538938
MMP1	4312_at	4312	LOC4312	0.0024	3.6699	0.0158	0.9874	-0.218432481	5.270886364	-0.798880314	0.428684269
ADAMTS16	170690_at	170690	LOC170690	0.0298	4.6361	0.3686	0.7137	-0.04263716	3.420772727	-0.779650723	0.439802387
MMP2	4313_at	4313	LOC4313	0.0800	6.6751	0.5883	0.5586	0.116335197	6.136772727	0.754020488	0.454884362
ADAMTS12	81792_at	81792	LOC81792	-0.0078	3.9433	-0.0752	0.9403	-0.010946855	3.066795455	-0.741064255	0.462621732
ADAMTS9	56999_at	56999	LOC56999	-0.1370	4.0980	-2.1372	0.0367	-0.068060077	4.223340909	-0.728653001	0.47010437
ADAM17	6868_at	6868	LOC6868	0.0372	6.6812	0.8868	0.3788	-0.026453329	6.262068182	-0.727930339	0.470542179
ADAMTS15	170689_at	170689	LOC170689	0.0724	3.2994	2.7676	0.0075	0.014472601	3.412181818	0.705196339	0.484433379
MMP7	4316_at	4316	LOC4316	-0.3926	4.9629	-1.3378	0.1861	0.157057411	4.357181818	0.704270337	0.485004032
ADAMTS8	11095_at	11095	LOC11095	0.0146	2.8822	0.4401	0.6615	0.024991243	2.992090909	0.693194686	0.491858572
ADAMTS2	9509_at	9509	LOC9509	-0.0030	3.6626	-0.0300	0.9762	0.052373262	3.8555	0.69111052	0.493154416
ADAMTS18	170692_at	170692	LOC170692	0.0196	2.3411	0.6559	0.5144	-0.019888563	3.346818182	-0.661481946	0.511779219
MMP14	4323_at	4323	LOC4323	0.0468	5.5213	0.6317	0.5300	-0.040437793	8.005545455	-0.62300133	0.536524438
ADAMTS4	9507_at	9507	LOC9507	-0.0627	4.1846	-0.8127	0.4197	-0.031634812	4.145022727	-0.600479743	0.551290943
ADAM22	53616_at	53616	LOC53616	0.0158	3.9481	0.1645	0.8699	-0.012501328	2.96	-0.595260903	0.554742012
ADAM9	8754_at	8754	LOC8754	-0.0509	8.3325	-0.7475	0.4577	-0.047215149	7.483272727	-0.564119445	0.575559353
ADAM30	11085_at	11085	LOC11085	0.0168	2.7122	0.5519	0.5831	0.011909935	3.488431818	0.484417182	0.630511086
ADAMTS10	81794_at	81794	LOC81794	0.0698	2.4702	2.7167	0.0086	0.006516243	2.776090909	0.46956084	0.641005472
ADAM7	8756_at	8756	LOC8756	0.0222	2.4805	0.7976	0.4283	-0.007025189	3.374227273	-0.45284044	0.652905954
ADAMTS7	11173_at	11173	LOC11173	0.0498	3.7740	1.3925	0.1690	0.012497124	3.060409091	0.449150352	0.655544814
ADAMTS6	11174_at	11174	LOC11174	0.0982	2.2797	2.4548	0.0171	-0.013716737	3.430545455	-0.44097828	0.661404659
MMP15	4324_at	4324	LOC4324	-0.0060	2.8636	-0.2014	0.8411	-0.018492648	3.573954545	-0.416156813	0.679333844
MMP25	64386_at	64386	LOC64386	0.0479	2.6332	1.3990	0.1670	-0.017533668	3.448886364	-0.4075672	0.68558299
ADAM15	8751_at	8751	LOC8751	-0.0243	4.3092	-0.6268	0.5332	-0.025634553	5.39225	-0.387600828	0.700194622
MMP20	9313_at	9313	LOC9313	0.0113	2.2787	0.4419	0.6602	-0.007944475	3.31325	-0.385918717	0.701430967
ADAMTS5	11096_at	11096	LOC11096	-0.0666	5.2688	-0.4781	0.6344	-0.04487558	5.034704545	-0.361510287	0.719461627
ADAM10	102_at	102	LOC102	-0.0529	6.2628	-0.8480	0.3998	0.029781065	6.613181818	0.347113949	0.730173316
ADAMTS17	170691_at	170691	LOC170691	-0.0072	2.3766	-0.2286	0.8200	0.032594005	4.222113636	0.306112647	0.760973806
ADAMTS1	9510_at	9510	LOC9510	-0.0813	8.1640	-0.8888	0.3777	-0.037113634	6.907590909	-0.279125983	0.781466066
MMP13	4322_at	4322	LOC4322	0.1109	2.7517	0.6501	0.5181	-0.041451355	3.706522727	-0.278005818	0.782320177
MMP10	4319_at	4319	LOC4319	-0.0101	2.1860	-0.4327	0.6668	0.02640617	2.997727273	0.259666618	0.796341474
ADAM29	11086_at	11086	LOC11086	0.0378	2.0147	1.3884	0.1702	0.004136449	3.167545455	0.259243565	0.796665745
MMP19	4327_at	4327	LOC4327	0.1175	5.4297	1.3902	0.1697	-0.011317167	4.187659091	-0.23045658	0.818813417
ADAMTS20	80070_at	80070	LOC80070	0.0065	1.9302	0.2640	0.7927	0.002668072	3.184181818	0.182764815	0.855828573
MMP8	4317_at	4317	LOC4317	0.0487	2.0512	1.1723	0.2458	0.018355994	3.550068182	0.179054126	0.858723522
MMP9	4318_at	4318	LOC4318	0.2214	6.1721	1.0511	0.2975	-0.035587856	8.548068182	-0.162372846	0.871761398
MMP24	10893_at	10893	LOC10893	0.0017	4.6695	0.0319	0.9747	0.001866188	3.179931818	0.153209315	0.878939112
ADAM19	8728_at	8728	LOC8728	0.0411	4.2052	0.7628	0.4486	-0.00289344	3.656522727	-0.115060096	0.908925021
MMP21	118856_at	118856	LOC118856	0.0610	2.9786	1.1609	0.2504	-0.001723873	3.037068182	-0.111949591	0.911376471
ADAM2	2515_at	2515	LOC2515	0.0128	2.1773	0.5952	0.5540	0.001497735	2.952863636	0.088262282	0.930071811
ADAM28	10863_at	10863	LOC10863	0.0791	6.2850	0.9123	0.3653	-0.003039671	4.333113636	-0.036834046	0.970785224
MMP16	4325_at	4325	LOC4325	-0.0659	3.2475	-0.8320	0.4088	-0.002717662	3.892568182	-0.021821943	0.982689415
MMP23A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP23B	NA	8510	LOC8150	NA	NA	NA	NA	NA	NA	NA	NA
ADAM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
