Name	Dataset	Dir_in_dataset	Dir_in_other_set	Enrich_in_other_set	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	core_enrichment	tags_pct	list_pct	signal_pct	Compare_Direction
INTERFERON_GAMMA_RESPONSE	CM38	Negative	NA	NA	196	-0.693885603	-2.764341192	0.002375297	0.005276488	0.001666259	2127	CD69/PSME1/RBCK1/ITGB7/HLA-A/IL15RA/FGL2/PFKP/HLA-DMA/P2RY14/NMI/SOCS3/PDE4B/SPPL2A/MYD88/C1S/MX2/EIF2AK2/BATF2/SECTM1/ZNFX1/EIF4E3/IRF2/TNFAIP3/NFKBIA/HLA-B/CCL7/IFNAR2/GZMA/SLAMF7/MVP/PTPN6/LYSMD2/APOL6/TNFSF10/VCAM1/IRF1/CD38/METTL7B/DHX58/MT2A/CD86/PTGS2/IFITM2/LGALS3BP/IFI35/SOD2/PSMB9/FPR1/FAS/STAT1/MARCHF1/VAMP5/HERC6/CCL2/OAS2/CDKN1A/TAP1/PARP12/C1R/IFITM3/IRF9/SP110/SAMHD1/IL6/PSMB8/CXCL10/EPSTI1/LCP2/GCH1/SAMD9L/OAS3/PLSCR1/PARP14/TRIM21/CASP4/IFI27/CCL5/IDO1/XAF1/DDX58/GBP4/IFIT2/DDX60/ISG20/UBE2L6/CXCL11/SERPING1/RSAD2/IFIH1/BST2/ICAM1/MX1/IFI44/IRF7/CASP1/OASL/IFI44L/ISG15/IFIT3/IFIT1	0.52	0.12	0.46	NA
INTERFERON_ALPHA_RESPONSE	CM38	Negative	NA	NA	95	-0.758409592	-2.748345114	0.002272727	0.005276488	0.001666259	1758	NMI/CD47/LPAR6/CCRL2/C1S/TRIM5/EIF2AK2/BATF2/IRF2/TENT5A/MOV10/IRF1/NCOA7/DHX58/IFITM2/LGALS3BP/IFI35/PSMB9/HERC6/SELL/PROCR/TAP1/PARP12/IFITM3/IRF9/SP110/PSMB8/CXCL10/EPSTI1/UBA7/PARP9/GBP2/SAMD9L/PLSCR1/PARP14/TRIM21/IFI27/SAMD9/GBP4/IFIT2/DDX60/ISG20/IFITM1/UBE2L6/CXCL11/RSAD2/IFIH1/OAS1/BST2/MX1/IFI44/IRF7/CASP1/OASL/IFI44L/ISG15/IFIT3	0.6	0.1	0.55	NA
BILE_ACID_METABOLISM	CM38	Negative	NA	NA	111	-0.574667817	-2.129869813	0.002298851	0.005276488	0.001666259	2810	TFCP2L1/LCK/HACL1/AGXT/IDI1/PEX7/ABCG8/FADS1/HSD3B7/BMP6/CYP7A1/PEX13/SERPINA6/DHCR24/NR1H4/AR/NR0B2/ABCA6/PXMP2/GC/GNPAT/DIO1/SLC23A2/GNMT/APOA1/OPTN/PHYH/PIPOX/HSD17B11/NEDD4/SLC22A18/ABCA3/PEX19/PEX11A/CYP8B1/ABCA1/ALDH1A1/CYP39A1/CAT/SLC27A5/ALDH8A1/IDH1/BCAR3/PECR/HAO1/FADS2/SLC27A2/AQP9/AKR1D1/GCLM/FDXR/ACSL1/TTR	0.48	0.15	0.41	NA
XENOBIOTIC_METABOLISM	CM38	Negative	NA	NA	197	-0.53304245	-2.122781497	0.002380952	0.005276488	0.001666259	3409	XDH/GCKR/COMT/AP4B1/CASP6/ACOX3/ABCC2/PDLIM5/ECH1/IGFBP1/CYP2C18/IRF8/TNFRSF1A/CYP4F2/SLC12A4/CFB/HACL1/DHRS1/ASL/CYP1A1/FAH/ARPP19/DCXR/ACOX1/EPHX1/ACOX2/G6PC/ITIH4/UGDH/BCAT1/PGRMC1/SMOX/ENPEP/SERPINA6/TTPA/HPRT1/TPST1/NINJ1/VTN/PGD/VNN1/PAPSS2/MBL2/ETFDH/GSS/GNMT/SLC46A3/LEAP2/HRG/FETUB/LCAT/MAN1A1/SLC35D1/HGFAC/SLC22A1/AKR1C3/PMM1/TAT/TMEM176B/CYFIP2/PLG/ANGPTL3/F11/ITIH1/GAD1/NQO1/CYB5A/FABP1/CD36/SERTAD1/MT2A/ENTPD5/CAT/LPIN2/HSD17B2/CDO1/SLC1A5/HES6/IDH1/HMOX1/ADH1C/FAS/EPHA2/CYP1A2/UPB1/AQP9/PDK4/CRP/SERPINE1/BLVRB/GCH1/RBP4/PROS1/KYNU/AKR1C2/MAOA/FBP1/HSD11B1	0.5	0.19	0.41	NA
KRAS_SIGNALING_UP	CM38	Negative	NA	NA	198	-0.530987436	-2.112410972	0.002409639	0.005276488	0.001666259	2972	IL10RA/BTBD3/PPP1R15A/ENG/IRF8/EVI5/ADAM8/TSPAN13/CFB/CFH/CSF2RA/LAT2/SOX9/SERPINA3/VWA5A/INHBA/CLEC4A/CBL/CAB39L/SPARCL1/SCG3/DOCK2/LIF/DCBLD2/TSPAN7/TFPI/KCNN4/TLR8/NR1H4/PLAT/PEG3/NR0B2/CIDEA/BIRC3/TRAF1/CD37/TNFAIP3/ETV5/HOXD11/CFHR2/ITGA2/LCP1/TMEM176B/C3AR1/CCL20/EPB41L3/MAP3K1/ABCB1/ITGB2/HKDC1/PTGS2/ERO1A/ADGRL4/MYCN/LAPTM5/ETV4/IL33/PLAUR/CTSS/IL7R/RGS16/TNFRSF1B/SPP1/FCER1G/ANXA10/TMEM176A/GLRX/CXCR4/PSMB8/CXCL10/SATB1/PIGR/APOD/RBP4/IGFBP3/GYPC/MMD/DUSP6/ALDH1A3/TRIB2/IL1B/AKAP12/G0S2/SPRY2/TMEM100/HSD11B1/TMEM158/PPBP/ANGPTL4	0.45	0.16	0.38	NA
COAGULATION	CM38	Negative	NA	NA	137	-0.525073853	-1.988224733	0.00234192	0.005276488	0.001666259	2303	GSN/MSRB2/ACOX2/HPN/CLU/C8B/CTSE/MAFF/LRP1/PLAT/USP11/APOC3/TIMP3/FGA/F13B/MBL2/C1S/CTSB/C9/APOA1/CAPN2/KLF7/F2/CASP9/HRG/MASP2/ITGA2/CRIP2/PROC/PLG/ITGB3/F11/ITIH1/KLKB1/HMGCS2/FGG/RGN/F9/PLEK/TIMP1/C8A/CPQ/C1R/C1QA/C2/CPB2/SERPINE1/FN1/APOC1/PROS1/MMP1/DUSP6/CFI/SERPINA1/SERPING1/PF4/ANG/ANXA1	0.42	0.13	0.37	NA
CHOLESTEROL_HOMEOSTASIS	CM38	Negative	NA	NA	69	-0.571525238	-1.965456863	0.002262443	0.005276488	0.001666259	2817	PMVK/HMGCS1/IDI1/PNRC1/ATF3/MVK/LDLR/PPARG/SCD/CLU/GLDC/STARD4/EBP/ANTXR2/LGALS3/FDPS/S100A11/LSS/LPL/ADH4/CXCL16/ALCAM/MVD/SC5D/PDK3/PLAUR/FADS2/TM7SF2/ACSS2/TRIB3/PLSCR1/ERRFI1/TNFRSF12A/ATF5	0.49	0.15	0.42	NA
APOPTOSIS	CM38	Negative	NA	NA	158	-0.495629341	-1.908347911	0.002427184	0.005276488	0.001666259	3245	CASP3/LEF1/CASP6/APP/BAX/GADD45B/MCL1/GPX1/PPP3R1/LMNA/FEZ1/RHOB/FASLG/DNAJC3/ADD1/DNAJA1/SPTAN1/H1-0/PLPPR4/ATF3/SLC20A1/GSN/PPP2R5B/BIK/CD69/CLU/TGFBR3/MGMT/CCND1/EBP/SAT1/PLAT/LGALS3/PEA15/BIRC3/TIMP3/BTG2/BCL10/F2/CASP9/DPYD/IGFBP6/BNIP3L/TNFSF10/IRF1/CD38/SC5D/GADD45A/IER3/SOD2/HMOX1/CD14/FAS/TIMP1/JUN/CDKN1A/TAP1/IFITM3/PRF1/IL6/CTH/GPX3/SATB1/GCH1/FDXR/CASP4/F2R/ENO2/TNFRSF12A/ISG20/IL1B/CASP1/PMAIP1/ANXA1	0.47	0.18	0.39	NA
REACTIVE_OXYGEN_SPECIES_PATHWAY	CM38	Negative	NA	NA	48	-0.540237927	-1.742202531	0.006833713	0.011782264	0.003720715	3242	PRNP/PTPA/SELENOS/TXNRD2/LAMTOR5/G6PD/PFKP/PRDX4/MPO/HHEX/STK25/OXSR1/PRDX2/CDKN2D/GLRX2/NQO1/LSP1/CAT/SOD2/SRXN1/GCLM/GLRX/GPX3	0.48	0.18	0.4	NA
HEDGEHOG_SIGNALING	CM38	Negative	NA	NA	36	-0.560510237	-1.696072269	0.00678733	0.011782264	0.003720715	1571	NRP2/CDK6/PLG/DPYSL2/L1CAM/HEY1/AMOT/VLDLR/VEGFA/HEY2	0.28	0.09	0.25	NA
IL2_STAT5_SIGNALING	CM38	Negative	NA	NA	198	-0.410573068	-1.6333702	0.002409639	0.005276488	0.001666259	3245	CASP3/PRNP/NCOA3/SERPINC1/ECM1/GADD45B/DENND5A/IL10RA/IRF8/SOCS1/ETFBKMT/PDCD2L/RHOB/MXD1/SMPDL3A/SWAP70/MAP3K8/MUC1/HK2/KLF6/FAH/TNFRSF9/RHOH/DCPS/P2RX4/SHE/BATF3/FGL2/RORA/LIF/TWSG1/IL3RA/TNFRSF4/MAFF/GALM/PTGER2/SNX14/SNX9/TRAF1/PRAF2/BHLHE40/LRIG1/MYO1E/ITGA6/IGF1R/SPRED2/SYNGR2/BMPR2/IL2RA/ALCAM/NT5E/TNFRSF21/ABCB1/EOMES/TNFSF10/CD86/TGM2/LRRC8C/ETV4/SLC1A5/NDRG1/RGS16/SELL/SH3BGRL2/TNFRSF1B/P4HA1/SPP1/CST7/SPRY4/IFITM3/GPR65/PHLDA1/SYT11/CXCL10/CD48/PLSCR1/NFKBIZ/DHRS3/GBP4/AHR/PLIN2	0.41	0.18	0.34	NA
HEME_METABOLISM	CM38	Negative	NA	NA	195	-0.384100429	-1.527733492	0.004750594	0.008818342	0.00278474	3347	HDGF/ADIPOR1/KLF1/UROD/GYPB/LAMP2/ASNS/EPB41/NEK7/SELENBP1/SLC10A3/ATG4A/ABCG2/YPEL5/RBM38/RNF123/FECH/CIR1/SLC7A11/MPP1/ADD1/CPOX/MAP2K3/ACP5/RIOK3/RHCE/FTCD/DCAF11/H1-0/PICALM/KHNYN/SEC14L1/PPP2R5B/SLC2A1/ANK1/PPOX/RHAG/HTRA2/ENDOD1/HAGH/SMOX/CTSE/MINPP1/CDC27/GYPA/MYL4/SLC4A1/TSPAN5/BTG2/CTSB/DCUN1D1/BACH1/OPTN/TENT5C/SPTA1/HBQ1/PRDX2/KAT2B/NFE2/LMO2/BNIP3L/LRP10/CAT/HBB/ALDH6A1/LPIN2/ALDH1L1/MBOAT2/CA1/TRIM58/SLC25A37/GCLM/SLC30A1/BLVRB/MOCOS/MARCHF2/HBD/AHSP/EPB42/GYPC/ALAS2	0.42	0.18	0.34	NA
EPITHELIAL_MESENCHYMAL_TRANSITION	CM38	Negative	NA	NA	197	-0.380607787	-1.515727628	0.004761905	0.008818342	0.00278474	1951	LAMC1/TPM4/BASP1/PDLIM4/LGALS1/SAT1/ITGB5/LRP1/TPM1/THBS2/TIMP3/IL32/CXCL6/LOXL2/TNFAIP3/NNMT/WIPF1/ITGA2/FSTL3/ITGB3/PLOD1/FMOD/NT5E/ITGB1/FGF2/PCOLCE2/SDC4/TNFRSF11B/VCAM1/MAGEE1/CTHRC1/FLNA/CXCL1/TGM2/GADD45A/FERMT2/PLAUR/FAS/TIMP1/JUN/QSOX1/SPP1/PFN2/TNC/LOX/IL6/SGCB/SERPINE1/VEGFA/PLOD2/FN1/ANPEP/SNTB1/IGFBP3/MMP1/ENO2/TNFRSF12A/SERPINE2/CDH2/CADM1/IGFBP2/LAMA1/DKK1/PTX3/SFRP1/CXCL8	0.34	0.11	0.3	NA
P53_PATHWAY	CM38	Negative	NA	NA	196	-0.37507321	-1.494238128	0.004750594	0.008818342	0.00278474	3161	HSPA4L/APP/EI24/PRMT2/BAX/PTPN14/PPP1R15A/PTPRE/SOCS1/GLS2/MXD1/SLC7A11/ZFP36L1/HRAS/DDB2/S100A10/DCXR/CTSD/ATF3/ALOX15B/FOS/SESN1/RHBDF2/VWA5A/RNF19B/TGFB1/IFI30/EPHX1/CGRRF1/RB1/LIF/SERTAD3/NINJ1/SAT1/OSGIN1/BTG2/CD82/H1-2/SLC35D1/HEXIM1/ADA/PMM1/PLK2/CYFIP2/PHLDA3/CDKN2A/ABAT/NUPR1/GADD45A/IER3/NDRG1/HMOX1/RGS16/FAS/JUN/CDKN1A/EPHA2/PROCR/TAP1/ZBTB16/CDKN2B/TRIB3/FDXR/PDGFA/DDIT4/F2R/DRAM1/INHBB/CASP1	0.35	0.17	0.29	NA
PEROXISOME	CM38	Negative	NA	NA	103	-0.405821084	-1.482130826	0.009324009	0.015038725	0.004749071	3047	ECH1/ECI2/STS/ACSL4/HRAS/IDI1/ACOX1/FADS1/HSD3B7/CTBP1/PEX13/SERPINA6/DHCR24/CRAT/GNPAT/DIO1/FDPS/ACOT8/BCL10/SLC23A2/HSD17B11/PEX11A/HMGCL/MVP/ALDH1A1/ABCB1/CAT/SOD2/IDH1/SLC27A2/ACSL1/DHRS3/HAO2/TTR/CADM1	0.34	0.17	0.29	NA
MYC_TARGETS_V1	CM38	Positive	Negative	-1.89766782	184	0.550725583	2.05330033	0.001733102	0.005276488	0.001666259	4840	CDK2/PPIA/MCM4/AIMP2/CDC45/CYC1/CLNS1A/NOP16/CCT2/PA2G4/MCM7/XPOT/CDK4/MYC/GLO1/POLE3/HSP90AB1/EIF3D/PHB2/CCT5/MAD2L1/RANBP1/IMPDH2/STARD7/LSM2/C1QBP/SRPK1/SMARCC1/PABPC4/NHP2/MRPS18B/NOLC1/EIF3B/IARS1/TUFM/CANX/ABCE1/UBA2/TFDP1/SF3A1/PTGES3/GNL3/SLC25A3/NCBP2/POLD2/RUVBL2/CDC20/HSPD1/FAM120A/ETF1/HNRNPA1/DEK/GSPT1/DHX15/APEX1/RFC4/RRP9/SRSF3/H2AZ1/NCBP1/COPS5/SET/RNPS1/CCNA2/IFRD1/SERBP1/DDX21/CUL1/SRM/MCM5/SNRPA/TOMM70/CSTF2/HNRNPU/CBX3/CTPS1/EIF2S1/RRM1/CAD/EXOSC7/NDUFAB1/RPL22/RPL18/CNBP/RACK1/PSMD3/PWP1/SRSF2/SNRPD3/TARDBP/DUT/HNRNPA2B1/LSM7/PSMB3/VDAC3/EIF2S2/TRIM28/DDX18/TYMS/RAN/KARS1	0.55	0.26	0.41	Opposite
OXIDATIVE_PHOSPHORYLATION	CM38	Positive	Negative	-1.816321663	186	0.46453197	1.733941177	0.00173913	0.005276488	0.001666259	4217	CYCS/NDUFC2/CS/ETFB/CYC1/AFG3L2/NQO2/UQCRB/NNT/MTRR/ATP5F1D/MRPS30/MRPL15/DECR1/ATP5F1B/NDUFA9/NDUFV1/NDUFS7/TOMM22/PHB2/OGDH/MPC1/ATP6V1E1/NDUFB7/HSPA9/LDHB/SLC25A4/NDUFS8/ATP5MC2/NDUFS6/COX6C/COX7A2/ATP5MC1/OPA1/NDUFA7/ATP6V1C1/SLC25A11/RHOT2/UQCR10/SLC25A5/IMMT/ATP6V1H/IDH3G/PMPCA/TIMM9/FH/NDUFB5/TIMM13/COX4I1/ACO2/POLR2F/UQCRQ/NDUFA8/MDH2/MRPL35/NDUFS3/SLC25A3/SDHA/ATP5F1A/UQCR11/UQCRC2/NDUFA6/MRPS12/MRPS11/SUCLG1/GRPEL1/FXN/AIFM1/ATP5MF/SLC25A12/POR/IDH3A/NDUFA4/TIMM50/MRPL34/HADHB/TOMM70/NDUFA3/COX6B1/NDUFA2/MRPL11/ECI1/NDUFB2/NDUFAB1/ATP5MG/COX8A/COX15/HCCS/NDUFB6/DLD/ATP6V1F	0.49	0.23	0.38	Opposite
E2F_TARGETS	CM38	Positive	Negative	-1.720640223	195	0.523410008	1.970180294	0.00172117	0.005276488	0.001666259	4864	NCAPD2/PAN2/MCM4/CDCA3/NUP107/HMGA1/TRIP13/ATAD2/RAD21/DDX39A/DSCC1/BRCA2/TOP2A/PA2G4/MCM7/BRCA1/CDK4/NUP153/RAD51AP1/UNG/CCNB2/RAD1/NBN/RACGAP1/TIMELESS/PMS2/MYC/TCF19/SMC6/PRKDC/MCM3/EZH2/BIRC5/TBRG4/MAD2L1/AURKB/RANBP1/CCNE1/POLD1/RPA1/PSMC3IP/SPAG5/GINS3/CDC25A/RFC3/NOLC1/RNASEH2A/RPA3/BUB1B/PTTG1/CENPM/RAD51C/SPC25/CDKN3/HMGB3/HMMR/CHEK2/UBR7/ILF3/POLD2/WDR90/TK1/ESPL1/CDC20/RAD50/DLGAP5/LYAR/DEK/SSRP1/GSPT1/TFRC/MKI67/CKS2/HUS1/H2AZ1/CDK1/POLD3/RFC2/DNMT1/AURKA/MCM5/CTPS1/STMN1/SPC24/EIF2S1/GINS4/LMNB1/ASF1B/KIF4A/NASP/UBE2T/SRSF2/ORC6/KIF18B/DUT/PHF5A/NUP205/TP53/TUBB/PLK4/POLE/POLA2/RFC1/MXD3/ING3/LIG1/POP7/CDC25B/CDCA8/MLH1/RAN/KIF2C	0.57	0.26	0.43	Opposite
KRAS_SIGNALING_DN	CM38	Positive	Positive	1.37945064	194	0.389492006	1.464384109	0.008605852	0.014343087	0.004529396	811	KRT5/KRT1/COL2A1/CALML5/KLK7/PKP1/FGFR3/KRT15/THNSL2/KLK8/LYPD3/AMBN/COPZ2/TGM1/TFF2/ALOX12B/KRT13/EFHD1/SPRR3/TEX15/SERPINB2/CD207/TENM2	0.12	0.04	0.11	Same
